graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,random_mean_cut,random_best_cut,random_mean_ratio,random_best_ratio,greedy_cut,greedy_bits,greedy_ratio
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,4.46337890625,7.0,0.6376255580357143,1.0,6.0,001110,0.8571428571428571
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,5,2.94970703125,5.0,0.58994140625,1.0,5.0,010111,1.0
erdos_renyi_n6_s42,erdos_renyi,42,6,8,0.5333333333333333,2.6666666666666665,1.247219128924647,4,0.5,6,3.99658203125,6.0,0.6660970052083334,1.0,6.0,100011,1.0
erdos_renyi_n6_s84,erdos_renyi,84,6,5,0.3333333333333333,1.6666666666666667,0.7453559924999299,3,0.0,5,2.45458984375,5.0,0.49091796875,1.0,5.0,001110,1.0
erdos_renyi_n6_s168,erdos_renyi,168,6,6,0.4,2.0,1.1547005383792515,4,0.25,5,3.0029296875,5.0,0.6005859375,1.0,5.0,011110,1.0
erdos_renyi_n8_s7,erdos_renyi,7,8,17,0.6071428571428571,4.25,0.82915619758885,5,0.5416666666666667,13,8.427734375,13.0,0.6482872596153846,1.0,13.0,00110011,1.0
erdos_renyi_n8_s21,erdos_renyi,21,8,13,0.4642857142857143,3.25,1.3919410907075054,5,0.625,10,6.50634765625,10.0,0.650634765625,1.0,9.0,01100010,0.9
erdos_renyi_n8_s42,erdos_renyi,42,8,16,0.5714285714285714,4.0,0.7071067811865476,5,0.425,13,7.99072265625,13.0,0.6146709735576923,1.0,12.0,11010010,0.9230769230769231
erdos_renyi_n8_s84,erdos_renyi,84,8,11,0.39285714285714285,2.75,1.299038105676658,5,0.24583333333333332,9,5.5078125,9.0,0.6119791666666666,1.0,9.0,01011001,1.0
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,7.0439453125,11.0,0.6403586647727273,1.0,10.0,00111010,0.9090909090909091
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,13.41357421875,18.0,0.7451985677083334,1.0,17.0,0011001111,0.9444444444444444
erdos_renyi_n10_s21,erdos_renyi,21,10,20,0.4444444444444444,4.0,1.3416407864998738,7,0.38190476190476186,15,9.95556640625,15.0,0.6637044270833333,1.0,15.0,1011101000,1.0
erdos_renyi_n10_s42,erdos_renyi,42,10,21,0.4666666666666667,4.2,1.4000000000000001,7,0.5266666666666666,15,10.56005859375,15.0,0.70400390625,1.0,15.0,1110101100,1.0
erdos_renyi_n10_s84,erdos_renyi,84,10,16,0.35555555555555557,3.2,1.5362291495737217,6,0.39,13,7.9755859375,13.0,0.6135066105769231,1.0,12.0,0001101100,0.9230769230769231
erdos_renyi_n10_s168,erdos_renyi,168,10,24,0.5333333333333333,4.8,1.4,7,0.6338095238095238,17,12.056640625,17.0,0.7092141544117647,1.0,15.0,0010111101,0.8823529411764706
erdos_renyi_n12_s7,erdos_renyi,7,12,35,0.5303030303030303,5.833333333333333,1.6244657241348273,8,0.4563492063492063,25,17.5107421875,25.0,0.7004296875,1.0,25.0,001110100110,1.0
erdos_renyi_n12_s21,erdos_renyi,21,12,30,0.45454545454545453,5.0,1.0,6,0.34722222222222227,23,15.009765625,23.0,0.6525985054347826,1.0,22.0,010111010010,0.9565217391304348
erdos_renyi_n12_s42,erdos_renyi,42,12,31,0.4696969696969697,5.166666666666667,1.6244657241348273,7,0.4976190476190476,24,15.4609375,24.0,0.6442057291666666,1.0,23.0,110011010000,0.9583333333333334
erdos_renyi_n12_s84,erdos_renyi,84,12,27,0.4090909090909091,4.5,1.3844373104863459,7,0.30952380952380953,21,13.53564453125,21.0,0.6445545014880952,1.0,19.0,001111110000,0.9047619047619048
erdos_renyi_n12_s168,erdos_renyi,168,12,34,0.5151515151515151,5.666666666666667,2.173067468400883,9,0.64755291005291,25,17.0009765625,25.0,0.6800390625,1.0,25.0,101010101001,1.0
random_regular_n6_s7,random_regular,7,6,9,0.6,3.0,0.0,3,0.3333333333333333,7,4.4765625,7.0,0.6395089285714286,1.0,7.0,011100,1.0
random_regular_n6_s21,random_regular,21,6,9,0.6,3.0,0.0,3,0.3333333333333333,7,4.53515625,7.0,0.6478794642857143,1.0,7.0,111000,1.0
random_regular_n6_s42,random_regular,42,6,9,0.6,3.0,0.0,3,0.3333333333333333,7,4.51171875,7.0,0.64453125,1.0,7.0,010011,1.0
random_regular_n6_s84,random_regular,84,6,9,0.6,3.0,0.0,3,0.3333333333333333,7,4.45068359375,7.0,0.6358119419642857,1.0,7.0,001110,1.0
random_regular_n6_s168,random_regular,168,6,9,0.6,3.0,0.0,3,0.3333333333333333,7,4.55126953125,7.0,0.6501813616071429,1.0,7.0,011100,1.0
random_regular_n8_s7,random_regular,7,8,12,0.42857142857142855,3.0,0.0,3,0.24999999999999997,10,5.95947265625,10.0,0.595947265625,1.0,10.0,10110001,1.0
random_regular_n8_s21,random_regular,21,8,12,0.42857142857142855,3.0,0.0,3,0.24999999999999997,10,6.013671875,10.0,0.6013671875,1.0,10.0,01101010,1.0
random_regular_n8_s42,random_regular,42,8,12,0.42857142857142855,3.0,0.0,3,0.24999999999999997,10,6.041015625,10.0,0.6041015625,1.0,10.0,01010110,1.0
random_regular_n8_s84,random_regular,84,8,12,0.42857142857142855,3.0,0.0,3,0.49999999999999994,10,5.98486328125,10.0,0.598486328125,1.0,10.0,00110101,1.0
random_regular_n8_s168,random_regular,168,8,12,0.42857142857142855,3.0,0.0,3,0.24999999999999997,10,6.06591796875,10.0,0.606591796875,1.0,10.0,00110110,1.0
