topology,qaoa_depth_p,mean_cx,std_cx,mean_depth,mean_cx_per_edge_per_layer,mean_exact_expected_ratio
all_to_all,1,31.483333333333334,15.488669392553406,35.56666666666667,1.8833333333333333,0.7345316018511951
all_to_all,2,64.71666666666667,28.80802389780248,64.85,1.9242424242424243,0.776920279179014
all_to_all,3,93.68333333333334,40.95252084530858,91.09166666666667,1.8717171717171717,0.7933526567687194
grid,1,45.30833333333333,25.35820548528964,60.74166666666667,2.6286881350268843,0.7345316018511951
grid,2,100.28333333333333,53.12078884281476,115.35,2.8839300014062825,0.776920279179014
grid,3,148.975,77.85954413843803,161.34166666666667,2.881070259200003,0.7933526567687194
heavy_hex_like,1,48.958333333333336,28.10406706215621,64.33333333333333,2.814135301339207,0.7345316018511951
heavy_hex_like,2,108.525,61.63977250624673,122.5,3.059019818842518,0.776920279179014
heavy_hex_like,3,162.25833333333333,91.61120769507488,175.6,3.070452308514453,0.7933526567687194
linear,1,70.6,44.15926104606433,77.75,3.9712389998170363,0.7345316018511951
linear,2,170.48333333333332,102.47729679564844,158.41666666666666,4.749204284928708,0.776920279179014
linear,3,261.80833333333334,156.39076762673542,227.94166666666666,4.893418513341887,0.7933526567687194
ring,1,63.833333333333336,39.12044176112323,74.21666666666667,3.6148316398561495,0.7345316018511951
ring,2,141.85,84.49023114931018,138.79166666666666,3.971167667951646,0.776920279179014
ring,3,212.05,125.53213455813889,194.39166666666668,3.9813080782737384,0.7933526567687194
