graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,qaoa_depth_p,optimizer,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,COBYLA,all_to_all,29,18,56,74,2.0,18.0,2.0
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,COBYLA,linear,51,26,79,105,2.888888888888889,26.0,2.888888888888889
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,COBYLA,ring,42,26,67,93,2.888888888888889,26.0,2.888888888888889
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,COBYLA,grid,42,24,67,91,2.6666666666666665,24.0,2.6666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,COBYLA,heavy_hex_like,42,24,56,80,2.6666666666666665,24.0,2.6666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,SPSA,all_to_all,24,18,27,45,2.0,18.0,2.0
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,SPSA,linear,41,24,51,75,2.6666666666666665,24.0,2.6666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,SPSA,ring,37,28,47,75,3.111111111111111,28.0,3.111111111111111
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,SPSA,grid,35,22,37,59,2.4444444444444446,22.0,2.4444444444444446
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,1,SPSA,heavy_hex_like,33,24,37,61,2.6666666666666665,24.0,2.6666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,COBYLA,all_to_all,29,18,56,74,2.0,9.0,1.0
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,COBYLA,linear,51,26,76,102,2.888888888888889,13.0,1.4444444444444444
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,COBYLA,ring,46,26,72,98,2.888888888888889,13.0,1.4444444444444444
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,COBYLA,grid,49,24,76,100,2.6666666666666665,12.0,1.3333333333333333
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,COBYLA,heavy_hex_like,42,24,66,90,2.6666666666666665,12.0,1.3333333333333333
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,SPSA,all_to_all,49,36,94,130,4.0,18.0,2.0
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,SPSA,linear,93,61,110,171,6.777777777777778,30.5,3.388888888888889
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,SPSA,ring,75,57,134,191,6.333333333333333,28.5,3.1666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,SPSA,grid,81,51,95,146,5.666666666666667,25.5,2.8333333333333335
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,2,SPSA,heavy_hex_like,73,48,102,150,5.333333333333333,24.0,2.6666666666666665
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,COBYLA,all_to_all,49,36,94,130,4.0,12.0,1.3333333333333333
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,COBYLA,linear,90,61,102,163,6.777777777777778,20.333333333333332,2.259259259259259
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,COBYLA,ring,68,57,114,171,6.333333333333333,19.0,2.111111111111111
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,COBYLA,grid,76,51,95,146,5.666666666666667,17.0,1.8888888888888888
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,COBYLA,heavy_hex_like,61,44,102,146,4.888888888888889,14.666666666666666,1.6296296296296295
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,all_to_all,69,54,132,186,6.0,18.0,2.0
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,linear,127,90,196,286,10.0,30.0,3.3333333333333335
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,ring,106,88,181,269,9.777777777777779,29.333333333333332,3.259259259259259
